RestaurantID,RestaurantName,CountryCode,City,Address,Locality,LocalityVerbose,Cuisines,Currency,Has_Table_booking,Has_Online_delivery,Is_delivering_now,Switch_to_order_menu,Price_range,Votes,Average_Cost_for_two,Rating
6317637,Le Petit Souffle,162,Makati City,Third Floor| Century City Mall| Kalayaan Avenue| Poblacion| Makati City,Century City Mall| Poblacion| Makati City,Century City Mall| Poblacion| Makati City| Makati City,French| Japanese| Desserts,Botswana Pula(P),Yes,No,No,No,3,314,1100,4.8
6304287,Izakaya Kikufuji,162,Makati City,Little Tokyo| 2277 Chino Roces Avenue| Legaspi Village| Makati City,Little Tokyo| Legaspi Village| Makati City,Little Tokyo| Legaspi Village| Makati City| Makati City,Japanese,Botswana Pula(P),Yes,No,No,No,3,591,1200,4.5
6300002,Heat - Edsa Shangri-La,162,Mandaluyong City,Edsa Shangri-La| 1 Garden Way| Ortigas| Mandaluyong City,Edsa Shangri-La| Ortigas| Mandaluyong City,Edsa Shangri-La| Ortigas| Mandaluyong City| Mandaluyong City,Seafood| Asian| Filipino| Indian,Botswana Pula(P),Yes,No,No,No,4,270,4000,4.4
6318506,Ooma,162,Mandaluyong City,Third Floor| Mega Fashion Hall| SM Megamall| Ortigas| Mandaluyong City,SM Megamall| Ortigas| Mandaluyong City,SM Megamall| Ortigas| Mandaluyong City| Mandaluyong City,Japanese| Sushi,Botswana Pula(P),No,No,No,No,4,365,1500,4.9
6314302,Sambo Kojin,162,Mandaluyong City,Third Floor| Mega Atrium| SM Megamall| Ortigas| Mandaluyong City,SM Megamall| Ortigas| Mandaluyong City,SM Megamall| Ortigas| Mandaluyong City| Mandaluyong City,Japanese| Korean,Botswana Pula(P),Yes,No,No,No,4,229,1500,4.8
18189371,Din Tai Fung,162,Mandaluyong City,Ground Floor| Mega Fashion Hall| SM Megamall| Ortigas| Mandaluyong City,SM Megamall| Ortigas| Mandaluyong City,SM Megamall| Ortigas| Mandaluyong City| Mandaluyong City,Chinese,Botswana Pula(P),No,No,No,No,3,336,1000,4.4
6300781,Buffet 101,162,Pasay City,Building K| SM By The Bay| Sunset Boulevard| Mall of Asia Complex (MOA)| Pasay City,SM by the Bay| Mall of Asia Complex| Pasay City,SM by the Bay| Mall of Asia Complex| Pasay City| Pasay City,Asian| European,Botswana Pula(P),Yes,No,No,No,4,520,2000,4
6301290,Vikings,162,Pasay City,Building B| By The Bay| Seaside Boulevard| Mall of Asia Complex (MOA)| Pasay City,SM by the Bay| Mall of Asia Complex| Pasay City,SM by the Bay| Mall of Asia Complex| Pasay City| Pasay City,Seafood| Filipino| Asian| European,Botswana Pula(P),Yes,No,No,No,4,677,2000,4.2
6300010,Spiral - Sofitel Philippine Plaza Manila,162,Pasay City,Plaza Level| Sofitel Philippine Plaza Manila| CCP Complex| Pasay City,Sofitel Philippine Plaza Manila| Pasay City,Sofitel Philippine Plaza Manila| Pasay City| Pasay City,European| Asian| Indian,Botswana Pula(P),Yes,No,No,No,4,621,6000,4.9
6314987,Locavore,162,Pasig City,Brixton Technology Center| 10 Brixton Street| Kapitolyo| Pasig City,Kapitolyo,Kapitolyo| Pasig City,Filipino,Botswana Pula(P),Yes,No,No,No,3,532,1100,4.8
